x	y	occurrence	id	boat	elev	nit	phos	pop	solar	wc18	wind	land
-83.43557	45.06628	1	10	-0.8741175741649972	-0.7459482853118027	NA	-1.9619981233979256	2.410995483798153	-1.4289153430559658	-0.7819074774992842	-0.015885130470215298	Developed, Medium Intensity
-83.33749999999999	44.545833333333334	0	background_33	-0.2621302754891137	-0.5220440648410049	-0.09443124609206119	-0.8626862063655717	-0.43365680565175624	-0.6241475940487791	-1.028443992815906	-0.41195716494679957	Woody Wetlands
-83.265154	42.023454	1	27	-0.40295711349248353	-0.7255933561780938	-1.0050178850687197	-0.08928782979861344	-0.34156836330459867	1.0002395395219077	1.4369211603503107	1.5684019772808608	Cultivated Crops
-83.30416666666666	44.8375	0	background_28	-0.5854079045997657	-0.8070130727129293	NA	-1.9058629152944366	-0.4279700704162815	-0.4648316861955076	-1.4393381850102753	-0.12390515083846959	Open Water
-83.57916666666667	43.65416666666667	0	background_2	-0.5944279943423507	-0.7663032144455116	-0.1450193457973864	0.666125789771146	-0.4215495617072473	0.24516533907379923	-2.1789477309601404	-1.1320882303728856	Cultivated Crops
-83.87916666666666	42.079166666666666	0	background_8	2.6283322812399588	0.9231559036523269	-1.0556059847740449	-0.08928782979861344	-0.44099452989065246	0.7220805317865299	1.3547423219114367	-0.12390515083846959	Cultivated Crops
-83.338339	41.91999	1	23	-0.9775102609305897	-0.8477229309803471	-1.1820763546489015	-0.08928782979861344	-0.4101760877373983	1.314254981848174	1.4369211603503107	1.388369983540785	Open Water
-84.248499	46.2076	1	26	-0.503740227577698	-0.8070130727129293	-0.9291356148991883	-0.08928782979861344	-0.45970572634994794	-2.1051029861695914	-0.6175498006215364	-0.41195716494679957	Open Water
-83.877927	43.953922	1	7	-0.473912934090417	-0.8070130727129293	0.5379206032822216	-0.12382697598882236	-0.4209992302899903	-0.5242562376797207	-1.1928016696936536	-1.7802052621166282	Open Water
-83.505506	42.484122	1	3	0.41062391074340465	1.6762882815995561	-0.04384314638673598	-0.08928782979861344	-0.14876966172671927	-0.08370774189510045	0.28641742220607624	0.5962259145876165	Developed High Intensity
-83.50416666666666	42.15416666666667	0	background_19	0.18554949990165137	-0.11494548216682689	-0.3726659150828934	-0.08928782979861344	-0.32964456141639226	0.8819067019770231	0.8616692912781935	0.5602188977464447	Cultivated Crops
-82.97083333333333	42.44583333333333	0	background_20	0.4098379024847004	-0.5220440648410049	NA	0.36204055909246324	4.154438807745817	-0.11495980927835271	0.9438481297170673	1.2803499631725308	Developed, Medium Intensity
-84.14583333333333	42.6875	0	background_31	2.8660342501442515	1.1470601241231246	2.207329340896476	-0.08928782979861344	-0.32414126823722006	0.05921373721755221	-0.28883444686604093	-1.0600752268458031	Woody Wetlands
-82.608581	42.554119	1	28	-0.2788083559797962	-0.8273680018466383	-0.3726659150828934	0.7190613597900033	-0.11061349008621943	1.0755422543231976	-0.6175498006215364	1.3523639968548744	Open Water
-84.254	46.2017	1	25	-0.6055734452566803	-0.8273680018466383	-0.9038415650465257	-0.10229969134278208	-0.45952228324124206	-2.14095942076048	-0.5353709621826626	-0.41195716494679957	Emergent Herbaceous Wetlands
-84.130298	42.347154	1	21	-0.9411833042310819	1.5948685650647205	1.2208605523618297	-0.08928782979861344	-0.3727536913199077	0.2953631468837791	0.6151327759615718	-0.6279961755280471	Deciduous Forest
-83.16939	42.09043	1	24	-0.6463264255330045	-0.8273680018466383	-0.5497246258861622	0.038700683902618736	-0.21811116138252817	1.3998049649981408	1.2725634834725628	1.6044079639667714	Open Water
-84.094795	42.353192	1	19	-0.770338556063086	1.6152234941984294	1.4990954625757489	-0.08928782979861344	-0.3714695951763402	0.3132943657223835	0.5329539375226979	-0.5919901888421364	Woody Wetlands
-83.1375	42.3125	0	background_16	-0.15238830118868807	-0.7052384270443849	-0.4991362849577499	0.09259116148692063	2.0173266231672837	0.009520188658473797	1.108205806594815	1.3163559498584414	Developed, Medium Intensity
-83.44583333333333	44.4125	0	background_11	-0.5186227005802247	-0.37955956090504256	0.032039123782795366	-0.7359207318948202	-0.45970572634994794	-0.4453696803452379	-0.4531921237437887	-0.7720221825822121	Woody Wetlands
-84.1875	42.395833333333336	0	background_18	0.19596299137462858	1.5745136359310115	1.2461547228260357	-0.08928782979861344	-0.4397104284987356	0.1201690757134307	0.36859626064495016	-0.7360161958963014	Cultivated Crops
-83.2592	41.9563	1	14	-0.15558358815372242	-0.8273680018466383	-0.8279592948769944	-0.08928782979861344	-0.4367753381033972	1.3516542096233681	1.3547423219114367	1.5684019772808608	Emergent Herbaceous Wetlands
-83.27083333333333	42.479166666666664	0	background_14	1.3798285074475605	-0.05388069476570019	-0.726783095466344	-0.08928782979861344	1.2692455474399815	0.16525225397855256	0.36859626064495016	0.7762589384829532	Developed, Low Intensity
-84.250428	46.176863	1	17	-0.23938342007318428	-0.7459482853118027	-0.7014889250021378	-0.10258476813163087	-0.45622030738020847	-1.9119776961606385	-0.6175498006215364	-0.41195716494679957	Woody Wetlands
-83.492369	42.481681	1	33	0.5531820738308404	1.5338037776635938	-0.3473719858417743	-0.08928782979861344	0.4540243956950865	0.06638142228393776	0.36859626064495016	0.5962259145876165	Developed, Medium Intensity
-83.99583333333332	43.270833333333336	0	background_34	0.7271038583641732	-0.7459482853118027	0.8161555134961408	4.640828853735313	-0.4582381814803006	-0.39311881701373047	-0.8640863159381581	-1.7081922585895457	Cultivated Crops
-84.244842	46.182869	1	15	-0.1808653632022366	-0.8070130727129293	-0.7520771453190066	-0.08928782979861344	-0.45622030738020847	-1.992917309016649	-0.6175498006215364	-0.41195716494679957	Open Water
-83.533626	42.469487	1	34	0.8717259381046617	1.5745136359310115	-0.17031351626159252	-0.08928782979861344	0.4833752366682784	0.40191792906832147	0.12205974532832849	0.5602188977464447	Open Water
-83.7875	42.3125	0	background_10	0.4852960712647411	1.065640407588289	-0.11972517533318025	-0.08928782979861344	0.15519558726251526	0.6247524932762208	0.6151327759615718	-0.08789813399729779	Developed, Open Space
-83.9125	43.1625	0	background_22	2.7171271354459168	-0.13530041130053577	1.2208605523618297	2.8092792626490155	-0.36193055226621523	-0.07448700130718738	-0.8640863159381581	-1.3841332276400438	Deciduous Forest
-84.01249999999999	42.545833333333334	0	background_15	0.31005492801094436	1.513448848529885	2.1567414824142377	-0.08928782979861344	-0.3124009066558664	0.1939350004167353	-0.28883444686604093	-0.5919901888421364	Pasture/Hay
-84.248621	46.208809	1	32	-0.5433874215088856	-0.8273680018466383	-0.8532534653412005	-0.08928782979861344	-0.4589719539151243	-2.1635010098930407	-0.4531921237437887	-0.41195716494679957	Emergent Herbaceous Wetlands
-84.0375	43.0125	0	background_32	4.2365928950065515	0.31250802964105995	1.0438020827816479	2.847685884156474	-0.4351243508494254	-0.27632276956683155	-0.3710132853049148	-1.3121202241129615	Cultivated Crops
-84.244439	46.191642	1	16	-0.3093467547505811	-0.7663032144455116	-0.8279592948769944	-0.08928782979861344	-0.45622030738020847	-2.043115116826629	-0.5353709621826626	-0.41195716494679957	Woody Wetlands
-84.14583333333333	42.34583333333333	0	background_9	-0.8111831871382847	1.696643210733265	1.094390182486973	-0.08928782979861344	-0.4006370448272733	0.1995718984714556	0.6973116144004456	-0.6279961755280471	Deciduous Forest
-83.97083333333333	42.27916666666667	0	background_29	-0.03538761801600341	1.2488347697916693	0.3102740339967146	-0.08928782979861344	-0.421366117901495	0.311757575624398	0.6973116144004456	-0.41195716494679957	Cultivated Crops
-84.1625	42.55416666666667	0	background_7	1.5851993939748377	1.4523840611287582	2.0555652830035873	-0.08928782979861344	-0.4347574632379208	0.11248512522350314	-0.12447676998829317	-0.9520552064775488	Cultivated Crops
-82.611636	42.570912	1	4	-0.5165654486580309	-0.8273680018466383	-0.3473719858417743	0.7190613597900033	-0.44356273267448626	0.9239102969598537	-0.5353709621826626	1.3523639968548744	Emergent Herbaceous Wetlands
-84.10416666666666	42.295833333333334	0	background_30	-0.6093486928012225	1.920547431204063	0.866743613201466	-0.08928782979861344	-0.355510043557181	0.20418226876541212	0.9438481297170673	-0.5199761551597928	Pasture/Hay
-82.580138	42.578322	1	29	-0.5444339992450377	-0.8070130727129293	-0.47384235571663086	0.7190613597900033	-0.4021045917743923	0.7886727683371286	-0.5353709621826626	1.3523639968548744	Woody Wetlands
-83.923188	43.846815	1	5	-0.8556853580114062	-0.7866581435792205	0.9932139830763226	0.03581801931048332	-0.4507170139823551	-0.23482943692122268	-1.521517023449149	-1.8882252824848824	Open Water
-83.55635	45.111428	1	31	0.6727072710563173	-0.21672012783537137	-0.5244304554219561	-2.023547796945564	-0.2815824732498611	-1.1855862421507128	-0.6997286390604104	-0.1959181543655521	Open Water
-83.63749999999999	42.729166666666664	0	background_25	-0.33055504629818694	1.7780629272681006	1.8532124017361122	-0.08928782979861344	-0.36523252677415874	0.1340001865953003	-0.6175498006215364	0.0561278730568672	Woody Wetlands
-84.12916666666666	42.4625	0	background_24	0.276439659493094	1.5745136359310115	1.6002716619863993	-0.08928782979861344	-0.4430124030066791	0.09148632927524797	0.12205974532832849	-0.7720221825822121	Cultivated Crops
